"service_id","date","exception_type"
"H","20131225","2"
"H","20130501","2"
"H","20130402","2"
"H","20130401","2"
"H","20130709","2"
"H","20130620","2"
"H","20130621","2"
"S","20130525","2"
"D","20130525","1"
"D","20131208","1"
"D","20130501","1"
"D","20130402","1"
"D","20131225","1"
"D","20130401","1"
"D","20130709","1"
"D","20130620","1"
"D","20130621","1"
"H","20140101","2"
"D","20140101","1"
"H","20140303","2"
"D","20140303","1"
"H","20140304","2"
"D","20140304","1"
"H","20140324","2"
"D","20140324","1"
